,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
91,35.0,2.0,2,1,2,0,1,0,9,1,10,0,0,0,1,0,0,0,6,0
92,49.0,1.0,3,0,1,0,1,0,10,2,10,0,12,0,1,1,1,0,4,0
93,33.0,3.0,3,0,0,0,1,0,9,0,2,0,0,0,1,2,0,0,4,0
94,55.0,3.0,3,0,1,0,1,0,1,1,5,0,0,0,1,1,1,0,4,0
95,39.0,39.0,0,0,1,0,1,0,1,0,7,1,0,0,0,1,0,0,4,0
96,55.0,3.0,3,1,1,0,1,0,1,0,10,1,13,0,1,0,1,1,4,0
97,49.0,39.0,3,0,2,0,1,0,1,0,3,0,0,0,1,2,2,0,4,0
98,46.0,1.0,3,1,2,0,1,0,0,0,9,1,12,0,1,0,1,1,4,0
99,41.0,39.0,1,0,1,0,1,0,9,0,10,1,12,0,1,2,3,0,4,0
100,39.0,3.0,3,0,0,0,1,0,1,1,7,0,0,0,1,0,0,0,4,0
101,41.0,1.0,3,1,0,0,1,0,9,0,4,1,0,0,1,0,3,0,4,0
102,55.0,3.0,3,1,1,0,1,1,9,0,3,1,7,0,1,1,1,1,4,0
103,34.0,3.0,3,0,1,0,1,1,9,0,9,1,10,0,1,1,0,0,4,0
104,40.0,2.0,3,0,0,0,1,0,1,0,4,0,0,0,1,3,3,0,4,0
105,44.0,1.0,2,1,0,0,1,0,9,0,10,1,7,1,1,2,0,0,4,0
106,50.0,2.0,0,1,2,1,0,0,1,0,0,1,0,0,1,0,3,0,4,0
107,54.0,1.0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,4,0
108,39.0,3.0,0,1,2,0,1,0,0,0,0,1,2,0,1,2,1,0,4,0
109,32.0,3.0,3,1,1,0,1,0,9,0,4,1,5,1,1,0,2,0,4,0
110,32.0,1.0,3,0,2,0,1,0,1,0,10,1,5,1,1,0,2,0,4,0
111,47.0,1.0,2,1,0,0,1,0,9,0,2,1,0,1,1,3,0,0,4,0
112,30.0,2.0,0,0,0,1,2,0,8,0,9,1,6,1,1,3,3,0,0,0
113,39.0,3.0,0,1,0,0,1,0,10,0,3,1,0,0,1,0,1,1,0,0
114,39.0,1.0,2,0,0,0,1,0,9,0,5,1,0,0,1,0,3,0,0,0
115,40.0,3.0,3,1,0,0,1,0,0,0,2,1,7,0,1,2,0,0,0,0
116,39.0,3.0,2,1,1,0,1,0,10,1,10,1,0,0,1,2,1,0,0,0
117,52.0,3.0,3,0,0,1,0,0,8,0,10,1,0,0,1,2,0,1,0,0
118,33.0,3.0,3,1,0,0,1,0,8,0,9,0,5,1,1,0,0,0,0,0
119,39.0,1.0,0,1,2,0,1,0,8,1,10,1,0,0,1,2,2,1,0,0
120,53.0,3.0,3,1,0,1,0,0,4,0,9,1,0,0,1,0,2,0,0,0
121,53.0,2.0,3,0,1,1,2,0,9,1,7,1,0,0,1,1,0,0,0,0
122,40.0,1.0,2,1,1,0,1,1,3,1,10,1,0,0,1,0,2,0,0,0
123,40.0,3.0,3,1,1,0,1,0,9,1,10,1,7,0,1,1,3,0,0,0
124,52.0,3.0,3,0,0,0,1,0,1,0,0,0,0,0,1,3,3,0,0,0
125,44.0,39.0,2,1,0,0,1,0,9,0,0,1,7,0,1,1,3,0,0,0
126,39.0,1.0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
127,44.0,2.0,3,1,2,0,1,0,9,0,0,1,11,1,1,1,1,1,0,0
128,52.0,2.0,3,0,2,0,1,0,1,0,10,1,2,1,1,2,1,0,0,0
129,39.0,1.0,3,0,0,0,1,0,9,0,0,1,0,0,1,3,1,0,0,0
130,31.0,1.0,3,0,2,0,1,0,9,0,9,1,0,0,1,0,0,0,0,0
131,31.0,1.0,3,1,2,0,1,0,9,1,5,1,7,0,1,3,2,0,0,0
132,40.0,2.0,3,0,0,0,1,0,4,0,5,0,0,0,1,1,2,0,0,0
133,28.0,1.0,3,0,2,1,0,0,9,0,2,1,0,0,0,1,2,0,0,0
134,41.0,2.0,3,0,1,0,1,0,3,2,2,0,2,0,1,1,0,1,0,0
135,41.0,2.0,3,0,1,1,2,0,9,0,9,1,2,0,1,3,3,0,0,0
136,49.0,1.0,3,0,0,0,1,0,1,0,10,1,12,0,1,2,2,0,0,0
137,30.0,2.0,0,0,2,0,1,0,9,0,4,1,0,0,1,3,0,0,0,0
138,48.0,1.0,0,1,1,0,1,0,1,0,10,1,0,0,1,0,2,0,0,0
139,34.0,2.0,0,0,1,0,1,0,9,0,10,1,2,0,1,2,0,0,0,0
140,39.0,2.0,1,1,2,0,1,0,2,0,9,1,7,0,1,3,2,0,0,0
141,39.0,2.0,1,0,2,0,4,0,1,0,0,1,0,0,1,0,2,0,0,0
142,39.0,2.0,3,0,1,1,2,0,8,0,2,0,0,0,1,1,0,0,0,0
143,40.0,3.0,2,0,0,1,4,0,8,0,8,1,0,0,1,1,3,0,0,0
144,42.0,3.0,0,0,2,0,1,0,1,0,2,1,5,0,1,2,2,1,0,0
145,39.0,1.0,3,0,0,0,1,0,9,0,2,1,0,0,1,0,0,0,0,0
146,36.0,1.0,0,1,0,0,1,0,9,0,10,1,0,1,1,0,2,1,2,1
147,28.0,3.0,3,0,2,1,0,0,9,0,9,1,7,0,1,0,2,0,2,1
148,53.0,3.0,3,1,0,0,1,0,8,0,10,1,0,0,1,0,0,1,2,1
149,42.0,2.0,3,1,2,0,1,0,9,0,11,1,0,0,1,1,0,1,2,1
150,39.0,2.0,0,0,1,0,1,0,8,0,10,1,0,0,1,3,2,0,2,1
151,40.0,1.0,3,1,0,0,1,0,9,0,10,0,5,0,1,1,3,0,2,1
152,41.0,3.0,2,0,2,0,1,0,3,0,10,1,7,0,1,3,2,0,2,1
153,50.0,2.0,3,0,1,0,1,0,8,0,3,0,5,0,0,0,0,0,2,1
154,48.0,3.0,3,0,1,0,1,0,9,0,9,0,0,0,1,3,2,0,2,1
155,42.0,2.0,3,0,2,0,1,0,8,0,4,0,11,0,1,3,1,0,2,1
156,51.0,2.0,3,1,1,0,1,1,9,0,2,1,0,0,1,3,3,0,2,1
157,54.0,2.0,0,0,2,0,1,0,8,0,10,1,5,1,1,3,2,0,2,1
158,50.0,1.0,3,1,2,1,2,0,0,0,0,1,2,0,1,1,3,0,2,1
159,44.0,39.0,3,0,0,0,1,0,1,0,10,0,0,0,1,2,1,0,2,1
160,39.0,1.0,3,0,0,0,1,0,1,0,2,1,0,0,1,1,2,0,2,1
